attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30,attribute31,attribute32,attribute33,attribute34,attribute35,attribute36,attribute37,attribute38,attribute39,attribute40,attribute41,attribute42,attribute43,attribute44,attribute45,attribute46,attribute47,attribute48,attribute49,attribute50,attribute51,attribute52,attribute53,attribute54,attribute55,attribute56,attribute57,attribute58,attribute59,class
0.092297,0.016924,0.004955,0.005389,0.014471,0.004903,0.006509,0.005063,0.004999,0.004557,0.008342,0.016973,0.005584,0.007481,0.009043,0.007763,0.006824,0.00663,0.005311,0.009012,0.005778,0.00606,0.019243,0.007788,0.009475,0.008191,0.008751,0.007135,0.010383,0.006786,0.006719,0.005487,0.008362,0.00506,0.005713,0.011619,0.00756,0.008853,0.008492,0.009303,0.006801,0.010389,0.009096,0.013833,0.006819,0.008245,0.01347,0.015142,0.01594,0.009094,0.01394,0.007202,0.009376,0.015638,0.008256,0.014136,0.01358,0.130569,0.268685,R/Normal
0.062245,0.014448,0.004115,0.007678,0.012547,0.006649,0.011683,0.004111,0.006958,0.006202,0.013246,0.015044,0.008026,0.012094,0.013038,0.012713,0.005039,0.009225,0.008929,0.015673,0.00845,0.009109,0.015089,0.008808,0.014698,0.015301,0.018724,0.010933,0.012363,0.005096,0.008141,0.008137,0.014435,0.008131,0.008929,0.00913,0.008644,0.013396,0.014435,0.016834,0.009969,0.011451,0.008191,0.015792,0.009289,0.01123,0.0103,0.017442,0.017614,0.011867,0.013863,0.010009,0.0121,0.011093,0.012318,0.014955,0.010895,0.105624,0.207552,R/Normal
0.07372,0.015105,0.004634,0.00696,0.012996,0.006098,0.009531,0.004671,0.006093,0.005919,0.011056,0.015103,0.006938,0.010078,0.011662,0.010741,0.006234,0.007979,0.007663,0.014194,0.008098,0.007567,0.017355,0.008333,0.012206,0.013454,0.014305,0.009067,0.010817,0.006092,0.007871,0.007719,0.013852,0.00784,0.007716,0.010192,0.008453,0.011667,0.013387,0.013831,0.008699,0.010673,0.009318,0.016676,0.009016,0.010313,0.011507,0.017069,0.016444,0.010702,0.013826,0.009584,0.010558,0.01367,0.010301,0.013559,0.011451,0.110753,0.228682,R/Normal
0.078099,0.014243,0.005055,0.006548,0.013168,0.005589,0.008663,0.004983,0.005713,0.005452,0.010556,0.015215,0.007097,0.009344,0.010783,0.009058,0.006726,0.008061,0.008662,0.014597,0.007684,0.006894,0.017207,0.008135,0.011446,0.013804,0.014327,0.00862,0.010417,0.006489,0.007678,0.008123,0.013899,0.006982,0.006906,0.010557,0.008045,0.010109,0.012554,0.013658,0.008236,0.010017,0.010388,0.017604,0.00825,0.009159,0.01192,0.016764,0.017536,0.010055,0.013019,0.008973,0.010377,0.014034,0.009993,0.013757,0.012502,0.110059,0.23621,R/Normal
0.079866,0.015478,0.005096,0.006914,0.012401,0.005805,0.009118,0.005058,0.005663,0.006254,0.011533,0.015618,0.006785,0.008953,0.010895,0.010436,0.006533,0.007881,0.008006,0.011896,0.00729,0.006949,0.01765,0.008204,0.01134,0.012406,0.013315,0.008569,0.009984,0.007061,0.008004,0.008161,0.012081,0.007293,0.006998,0.009897,0.008291,0.010703,0.01233,0.013407,0.008318,0.010233,0.009831,0.014341,0.008255,0.009935,0.012538,0.01506,0.016388,0.009786,0.014019,0.008697,0.010096,0.014128,0.009819,0.01377,0.012492,0.112829,0.239341,R/Normal
0.092482,0.016072,0.005219,0.006315,0.015691,0.005223,0.006988,0.005552,0.005624,0.004168,0.007,0.017275,0.007003,0.007962,0.007551,0.007208,0.006621,0.00767,0.006885,0.009746,0.005917,0.007173,0.0195,0.007093,0.008895,0.010155,0.01216,0.008883,0.012346,0.006295,0.006883,0.005747,0.008107,0.005228,0.00664,0.012088,0.006759,0.008235,0.009081,0.010155,0.007608,0.011144,0.005552,0.009751,0.006093,0.008556,0.012546,0.008878,0.009876,0.008795,0.01399,0.006522,0.008984,0.01518,0.009331,0.01471,0.013676,0.132267,0.27095,R/Normal
0.073745,0.012964,0.005294,0.00721,0.014472,0.007024,0.009921,0.005166,0.007011,0.005908,0.01017,0.012857,0.007702,0.01101,0.011624,0.010441,0.006051,0.008414,0.008624,0.015788,0.008787,0.008652,0.017181,0.008852,0.012285,0.013302,0.015709,0.009473,0.011745,0.006026,0.008179,0.008608,0.01432,0.007937,0.008595,0.011201,0.008584,0.012255,0.015361,0.01587,0.009119,0.011785,0.008165,0.014438,0.009271,0.010366,0.009463,0.014385,0.014317,0.010924,0.013799,0.009333,0.011032,0.013119,0.010486,0.014225,0.00975,0.108406,0.2233,R/Normal
0.046325,0.011316,0.00328,0.006707,0.012637,0.005696,0.011154,0.003131,0.005606,0.004304,0.008488,0.010822,0.00653,0.011374,0.008451,0.010995,0.003633,0.007093,0.01046,0.022628,0.007957,0.008619,0.015181,0.007214,0.015176,0.021378,0.028747,0.010143,0.013985,0.003464,0.00754,0.010148,0.019918,0.007536,0.008824,0.008582,0.007365,0.01616,0.023421,0.027382,0.010252,0.014268,0.006218,0.013294,0.010202,0.012471,0.007729,0.013195,0.019319,0.01244,0.018444,0.009481,0.012277,0.010387,0.012151,0.017549,0.0074,0.127416,0.186137,R/Normal
0.08713,0.01648,0.005124,0.006461,0.013952,0.004966,0.007433,0.005407,0.004901,0.004433,0.007375,0.016546,0.00679,0.00766,0.008028,0.007328,0.006394,0.007657,0.0081,0.012829,0.006054,0.006106,0.018111,0.007124,0.009917,0.012191,0.013479,0.008242,0.010926,0.006945,0.007699,0.008178,0.012617,0.005954,0.006046,0.010871,0.007018,0.008955,0.012502,0.013836,0.008087,0.010879,0.007326,0.010697,0.006894,0.009671,0.013166,0.012159,0.011781,0.008811,0.014351,0.00789,0.008789,0.014583,0.009251,0.013667,0.012867,0.123405,0.25796,R/Normal
0.078152,0.012918,0.005045,0.00679,0.014781,0.006522,0.010476,0.005355,0.006548,0.006002,0.011916,0.013883,0.006957,0.009656,0.010882,0.010244,0.006343,0.008003,0.007197,0.011362,0.007492,0.008637,0.018215,0.009007,0.012598,0.012709,0.013471,0.008789,0.012114,0.006262,0.007487,0.00747,0.013563,0.008487,0.008271,0.011289,0.008586,0.010986,0.01138,0.013491,0.008772,0.010967,0.008746,0.013263,0.008141,0.009629,0.009663,0.016487,0.015005,0.010717,0.014123,0.009769,0.011202,0.014282,0.010253,0.01433,0.010154,0.111675,0.233482,R/Normal
